INFO:aiogram.dispatcher.dispatcher:Start polling.
WARNING:aiogram.dispatcher.dispatcher:Polling is stopped.
INFO:aiogram.dispatcher.dispatcher:Start polling.
WARNING:aiogram.dispatcher.dispatcher:Polling is stopped.
INFO:aiogram.dispatcher.dispatcher:Start polling.
INFO:root:Конец игры-2022-11-19 02:26:25.643342-536297652-Andrey-[1, '⭕', '❌', 4, '❌', '⭕', '❌', '⭕', '❌', '❌', 7, '❌']
INFO:root:Ход в игре-2022-11-19 02:26:26.300357-536297652-Andrey-[1, 2, 3, '❌', 5, 6, 7, 8, 9, 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 02:26:27.645783-536297652-Andrey-[1, 2, 3, '❌', 5, 6, 7, '⭕', 9, 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 02:26:29.258425-536297652-Andrey-[1, 2, 3, '❌', '❌', 6, 7, '⭕', 9, 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 02:26:29.757460-536297652-Andrey-[1, 2, 3, '❌', '❌', '⭕', 7, '⭕', 9, 9, 4, '❌']
INFO:root:Ход в игре-2022-11-19 02:26:30.377783-536297652-Andrey-[1, '❌', 3, '❌', '❌', '⭕', 7, '⭕', 9, 9, 5, '⭕']
INFO:root:Ход в игре-2022-11-19 02:26:32.297818-536297652-Andrey-[1, '❌', 3, '❌', '❌', '⭕', '⭕', '⭕', 9, 9, 6, '❌']
INFO:root:Ход в игре-2022-11-19 02:26:34.050210-536297652-Andrey-[1, '❌', '❌', '❌', '❌', '⭕', '⭕', '⭕', 9, 9, 7, '⭕']
INFO:root:Ход в игре-2022-11-19 02:26:35.015001-536297652-Andrey-['⭕', '❌', '❌', '❌', '❌', '⭕', '⭕', '⭕', 9, 9, 8, '❌']
INFO:root:Конец игры-2022-11-19 02:26:35.934763-536297652-Andrey-['⭕', '❌', '❌', '❌', '❌', '⭕', '⭕', '⭕', '❌', 0, 9, '❌']
INFO:root:Ход в игре-2022-11-19 02:26:37.565654-536297652-Andrey-[1, 2, 3, 4, 5, 6, 7, 8, '❌', 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 02:26:39.147817-536297652-Andrey-[1, 2, 3, 4, 5, 6, 7, '⭕', '❌', 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 02:26:39.750361-536297652-Andrey-[1, 2, 3, 4, '❌', 6, 7, '⭕', '❌', 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 02:26:40.227462-536297652-Andrey-[1, '⭕', 3, 4, '❌', 6, 7, '⭕', '❌', 9, 4, '❌']
INFO:root:Ход в игре-2022-11-19 02:26:40.689678-536297652-Andrey-[1, '⭕', 3, 4, '❌', '❌', 7, '⭕', '❌', 9, 5, '⭕']
INFO:root:Начало игры-2022-11-19 02:26:43.529780-536297652-Andrey-[1, 2, 3, 4, 5, 6, 7, 8, 9, 9, 0, '❌']
INFO:root:Ход в игре-2022-11-19 02:26:44.340850-536297652-Andrey-['❌', 2, 3, 4, 5, 6, 7, 8, 9, 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 02:26:44.819886-536297652-Andrey-['❌', 2, 3, '⭕', 5, 6, 7, 8, 9, 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 02:26:45.230839-536297652-Andrey-['❌', 2, 3, '⭕', '❌', 6, 7, 8, 9, 9, 3, '⭕']
WARNING:aiogram.dispatcher.dispatcher:Polling is stopped.
INFO:aiogram.dispatcher.dispatcher:Start polling.
WARNING:aiogram.dispatcher.dispatcher:Polling is stopped.
INFO:aiogram.dispatcher.dispatcher:Start polling.
WARNING:aiogram.dispatcher.dispatcher:Polling is stopped.
INFO:aiogram.dispatcher.dispatcher:Start polling.
INFO:root:Начало игры-2022-11-19 02:44:22.879747-818719233-Вероника-[1, 2, 3, 4, 5, 6, 7, 8, 9, 9, 0, '❌']
INFO:root:Ход в игре-2022-11-19 02:44:25.431323-818719233-Вероника-[1, 2, 3, 4, '❌', 6, 7, 8, 9, 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 02:44:28.961215-818719233-Вероника-[1, 2, 3, '⭕', '❌', 6, 7, 8, 9, 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 02:44:31.566336-818719233-Вероника-[1, '❌', 3, '⭕', '❌', 6, 7, 8, 9, 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 02:44:32.871478-818719233-Вероника-[1, '❌', 3, '⭕', '❌', 6, 7, '⭕', 9, 9, 4, '❌']
INFO:root:Ход в игре-2022-11-19 02:44:34.998951-818719233-Вероника-[1, '❌', 3, '⭕', '❌', 6, 7, '⭕', '❌', 9, 5, '⭕']
INFO:root:Ход в игре-2022-11-19 02:44:36.204302-818719233-Вероника-['⭕', '❌', 3, '⭕', '❌', 6, 7, '⭕', '❌', 9, 6, '❌']
INFO:root:Ход в игре-2022-11-19 02:44:37.381327-818719233-Вероника-['⭕', '❌', 3, '⭕', '❌', 6, '❌', '⭕', '❌', 9, 7, '⭕']
INFO:root:Ход в игре-2022-11-19 02:44:38.347492-818719233-Вероника-['⭕', '❌', '⭕', '⭕', '❌', 6, '❌', '⭕', '❌', 9, 8, '❌']
INFO:root:Конец игры-2022-11-19 02:44:39.258265-818719233-Вероника-['⭕', '❌', '⭕', '⭕', '❌', '❌', '❌', '⭕', '❌', 0, 9, '❌']
INFO:root:Начало игры-2022-11-19 02:45:18.889247-818719233-Вероника-[1, 2, 3, 4, 5, 6, 7, 8, 9, 9, 0, '❌']
INFO:root:Ход в игре-2022-11-19 02:45:20.631017-818719233-Вероника-[1, 2, '❌', 4, 5, 6, 7, 8, 9, 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 02:45:21.448822-818719233-Вероника-[1, 2, '❌', 4, '⭕', 6, 7, 8, 9, 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 02:45:22.441117-818719233-Вероника-[1, 2, '❌', 4, '⭕', 6, 7, 8, '❌', 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 02:45:23.430890-818719233-Вероника-[1, 2, '❌', 4, '⭕', 6, '⭕', 8, '❌', 9, 4, '❌']
INFO:root:Ход в игре-2022-11-19 02:45:24.442160-818719233-Вероника-['❌', 2, '❌', 4, '⭕', 6, '⭕', 8, '❌', 9, 5, '⭕']
INFO:root:Ход в игре-2022-11-19 02:45:26.769803-818719233-Вероника-['❌', 2, '❌', 4, '⭕', 6, '⭕', '⭕', '❌', 9, 6, '❌']
INFO:root:Конец игры-2022-11-19 02:45:27.730020-818719233-Вероника-['❌', '❌', '❌', 4, '⭕', 6, '⭕', '⭕', '❌', '❌', 7, '❌']
INFO:root:Ход в игре-2022-11-19 02:45:30.511048-818719233-Вероника-[1, 2, 3, 4, 5, '❌', 7, 8, 9, 9, 1, '⭕']
INFO:root:Ход в игре-2022-11-19 02:45:32.307907-818719233-Вероника-[1, 2, 3, 4, 5, '❌', '⭕', 8, 9, 9, 2, '❌']
INFO:root:Ход в игре-2022-11-19 02:45:33.431486-818719233-Вероника-['❌', 2, 3, 4, 5, '❌', '⭕', 8, 9, 9, 3, '⭕']
INFO:root:Ход в игре-2022-11-19 02:45:34.398770-818719233-Вероника-['❌', 2, 3, 4, '⭕', '❌', '⭕', 8, 9, 9, 4, '❌']
INFO:root:Ход в игре-2022-11-19 02:45:35.322509-818719233-Вероника-['❌', 2, 3, 4, '⭕', '❌', '⭕', '❌', 9, 9, 5, '⭕']
INFO:root:Ход в игре-2022-11-19 02:45:35.862526-536297652-Andrey-['❌', 2, 3, '⭕', '❌', 6, '⭕', 8, 9, 9, 4, '❌']
INFO:root:Ход в игре-2022-11-19 02:45:36.217040-818719233-Вероника-['❌', '⭕', 3, 4, '⭕', '❌', '⭕', '❌', 9, 9, 6, '❌']
INFO:root:Ход в игре-2022-11-19 02:45:36.587188-536297652-Andrey-['❌', 2, 3, '⭕', '❌', 6, '⭕', '❌', 9, 9, 5, '⭕']
INFO:root:Ход в игре-2022-11-19 02:45:37.702165-536297652-Andrey-['❌', '⭕', 3, '⭕', '❌', 6, '⭕', '❌', 9, 9, 6, '❌']
INFO:root:Ход в игре-2022-11-19 02:45:38.234299-536297652-Andrey-['❌', '⭕', 3, '⭕', '❌', '❌', '⭕', '❌', 9, 9, 7, '⭕']
INFO:root:Ход в игре-2022-11-19 02:45:38.658367-536297652-Andrey-['❌', '⭕', 3, '⭕', '❌', '❌', '⭕', '❌', '⭕', 9, 8, '❌']
INFO:root:Ход в игре-2022-11-19 02:45:38.930760-818719233-Вероника-['❌', '⭕', 3, '❌', '⭕', '❌', '⭕', '❌', 9, 9, 7, '⭕']
INFO:root:Ход в игре-2022-11-19 02:45:39.922835-818719233-Вероника-['❌', '⭕', 3, '❌', '⭕', '❌', '⭕', '❌', '⭕', 9, 8, '❌']
